Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
30/01/2021,Inter,Benevento,4.0,0.0,4.0,8.0,0.0,1.22,6.5,12.0,H
31/01/2021,Spezia,Udinese,0.0,1.0,-1.0,5.0,4.0,3.75,3.2,2.1,A
31/01/2021,Atalanta,Lazio,1.0,3.0,-2.0,4.0,7.0,1.7,4.2,4.33,A
31/01/2021,Cagliari,Sassuolo,1.0,1.0,0.0,6.0,5.0,3.0,3.5,2.3,D
31/01/2021,Crotone,Genoa,0.0,3.0,-3.0,4.0,6.0,2.9,3.3,2.45,A
31/01/2021,Napoli,Parma,2.0,0.0,2.0,6.0,1.0,1.3,5.5,10.0,H
31/01/2021,Roma,Verona,3.0,1.0,2.0,6.0,2.0,1.65,3.9,5.25,H
05/02/2021,Fiorentina,Inter,0.0,2.0,-2.0,3.0,7.0,6.5,4.2,1.5,A
06/02/2021,Atalanta,Torino,3.0,3.0,0.0,4.0,11.0,1.4,5.0,7.0,D
06/02/2021,Sassuolo,Spezia,1.0,2.0,-1.0,4.0,7.0,1.8,3.8,4.33,A
06/02/2021,Juventus,Roma,2.0,0.0,2.0,3.0,3.0,1.72,4.0,4.33,H
06/02/2021,Genoa,Napoli,2.0,1.0,1.0,2.0,11.0,5.0,3.9,1.66,H
07/02/2021,Benevento,Sampdoria,1.0,1.0,0.0,3.0,5.0,3.0,3.25,2.4,D
